epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1446.95,2.27359,2.92419,0.00456,0.55679,0.48961,0.51612,0.27347,1.45534,0.97011,0.00337,0.00999778,0.00333259,0.00999778,0.00333259,0.00999778,0.00333259,0.00999778,0.00333259
2,2715.04,1.62168,0.93856,0.00256,0.61857,0.5554,0.58498,0.33316,1.36436,0.74232,0.00297,0.0197998,0.00659993,0.0197998,0.00659993,0.0197998,0.00659993,0.0197998,0.00659993
3,3943.44,1.52469,0.76844,0.00233,0.63806,0.58198,0.60121,0.34851,1.3672,0.65223,0.00296,0.0294038,0.00980127,0.0294038,0.00980127,0.0294038,0.00980127,0.0294038,0.00980127
4,5159.81,1.4525,0.69228,0.00217,0.8455,0.60737,0.68426,0.41712,1.31561,0.62042,0.00276,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,6382.66,1.3999,0.64868,0.00207,0.86137,0.61238,0.62686,0.37771,1.31042,0.59512,0.00273,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,7605.25,1.36639,0.6193,0.00199,0.67581,0.61794,0.63165,0.38282,1.29975,0.58911,0.0027,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,8821.38,1.34156,0.60287,0.00196,0.67296,0.62423,0.63752,0.39097,1.28201,0.57756,0.00265,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,10043.6,1.32427,0.58442,0.00192,0.67925,0.62554,0.64155,0.39214,1.28654,0.56647,0.00263,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,11264.3,1.31252,0.5716,0.0019,0.87886,0.62907,0.64399,0.39141,1.29324,0.56242,0.00265,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,12483.9,1.29765,0.56074,0.00188,0.68071,0.62986,0.64461,0.3937,1.29487,0.56126,0.00265,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,13707.1,1.28417,0.55389,0.00185,0.87744,0.63106,0.64854,0.39624,1.28658,0.56437,0.00262,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,14929.4,1.27329,0.54372,0.00183,0.67924,0.62994,0.64645,0.3959,1.29375,0.55676,0.00263,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,16164.2,1.2654,0.53161,0.00182,0.68188,0.63041,0.64799,0.39637,1.29057,0.54701,0.00262,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,17391.7,1.25862,0.52526,0.00181,0.67709,0.6336,0.65191,0.40037,1.28227,0.54885,0.0026,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,18632.8,1.25091,0.51767,0.00179,0.68243,0.63166,0.65202,0.40037,1.28915,0.54665,0.00261,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,19867.3,1.24482,0.51167,0.00178,0.6793,0.63173,0.65094,0.40034,1.28725,0.54478,0.00261,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,21098.8,1.23857,0.50682,0.00177,0.67947,0.63767,0.65414,0.40107,1.29006,0.53851,0.00261,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,22324.6,1.23371,0.50407,0.00177,0.67836,0.63992,0.65461,0.40072,1.29296,0.54266,0.00261,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,23551.9,1.2279,0.49856,0.00176,0.6813,0.6376,0.65458,0.40022,1.29347,0.54255,0.00261,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,24777.7,1.22267,0.49049,0.00175,0.68153,0.64253,0.65709,0.4007,1.28871,0.53708,0.00259,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,26005.8,1.22035,0.49138,0.00175,0.68178,0.64231,0.65726,0.40078,1.28889,0.53305,0.00259,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,27240.8,1.21538,0.48463,0.00174,0.68439,0.64158,0.65727,0.39999,1.29112,0.53085,0.00259,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,28466.2,1.20928,0.48061,0.00173,0.68385,0.64043,0.65753,0.40043,1.29154,0.53013,0.00259,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,29702,1.20556,0.4779,0.00172,0.68269,0.64149,0.65799,0.40116,1.29257,0.52772,0.00259,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,30931.9,1.19898,0.47814,0.00171,0.68298,0.64088,0.65851,0.40136,1.29266,0.52827,0.00259,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,32159.7,1.19705,0.47821,0.00171,0.68287,0.64017,0.65903,0.40181,1.29024,0.53129,0.00259,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,33388.4,1.19208,0.47257,0.0017,0.68316,0.64039,0.659,0.40197,1.28984,0.53198,0.00259,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,34614.4,1.19128,0.4686,0.0017,0.6825,0.6407,0.65923,0.4026,1.28906,0.53025,0.00258,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,35837.2,1.18599,0.46818,0.00169,0.68015,0.6416,0.65939,0.40313,1.2891,0.52971,0.00258,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,37064.2,1.18204,0.46633,0.00168,0.67967,0.64194,0.65957,0.40335,1.28897,0.52961,0.00258,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,38288.5,1.17885,0.4654,0.00168,0.67844,0.64298,0.66008,0.40343,1.28906,0.52812,0.00258,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,39518.3,1.17417,0.4622,0.00167,0.68007,0.642,0.66045,0.40356,1.2885,0.52827,0.00258,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,40750,1.17243,0.4614,0.00168,0.6781,0.64243,0.6602,0.40356,1.28841,0.5283,0.00258,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,41981.3,1.16708,0.45696,0.00167,0.6767,0.64266,0.66065,0.40415,1.28836,0.52779,0.00257,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
